X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-1.200000e-03,2.000000e-06
106,-4.00e-03,0.00e+00,-2.80e-03,
107,-1.20e-02,8.00e-02,-3.20e-03,
108,-4.00e-03,0.00e+00,-2.80e-03,
109,-1.20e-02,8.00e-02,-3.00e-03,
110,-4.00e-03,4.00e-02,-2.80e-03,
111,-1.20e-02,1.20e-01,-3.40e-03,
112,-1.20e-02,1.20e-01,-3.00e-03,
113,-4.00e-03,1.20e-01,-3.80e-03,
114,-1.20e-02,1.20e-01,-3.60e-03,
115,-8.00e-03,2.00e-01,-4.20e-03,
116,-1.20e-02,2.00e-01,-3.60e-03,
117,-1.20e-02,1.60e-01,-4.20e-03,
118,-1.60e-02,2.80e-01,-4.20e-03,
119,-8.00e-03,1.60e-01,-3.80e-03,
120,-1.20e-02,2.40e-01,-4.20e-03,
121,-1.60e-02,3.20e-01,-3.80e-03,
122,-1.60e-02,3.20e-01,-4.40e-03,
123,-8.00e-03,2.40e-01,-3.80e-03,
124,-1.60e-02,2.80e-01,-4.00e-03,
125,-2.00e-02,4.00e-01,-4.60e-03,
126,-1.60e-02,4.00e-01,-4.20e-03,
127,-2.40e-02,2.80e-01,-5.00e-03,
128,-1.20e-02,3.60e-01,-5.20e-03,
129,-2.40e-02,4.40e-01,-4.40e-03,
130,-2.00e-02,4.40e-01,-4.60e-03,
131,-2.80e-02,3.60e-01,-5.20e-03,
132,-2.00e-02,4.40e-01,-5.20e-03,
133,-2.80e-02,4.00e-01,-4.60e-03,
134,-2.40e-02,4.00e-01,-4.60e-03,
135,-3.20e-02,5.20e-01,-5.40e-03,
136,-2.80e-02,5.20e-01,-5.00e-03,
137,-3.60e-02,4.80e-01,-5.80e-03,
138,-3.60e-02,5.60e-01,-5.60e-03,
139,-2.80e-02,4.80e-01,-5.20e-03,
140,-4.00e-02,5.60e-01,-6.20e-03,
141,-3.20e-02,5.60e-01,-5.40e-03,
142,-4.00e-02,5.20e-01,-6.00e-03,
143,-4.80e-02,6.40e-01,-5.40e-03,
144,-4.00e-02,6.00e-01,-5.40e-03,
145,-4.80e-02,6.40e-01,-6.00e-03,
146,-4.80e-02,6.00e-01,-6.00e-03,
147,-5.60e-02,7.20e-01,-5.20e-03,
148,-5.20e-02,6.80e-01,-5.40e-03,
149,-6.00e-02,6.40e-01,-6.20e-03,
150,-5.20e-02,6.80e-01,-6.00e-03,
151,-6.40e-02,6.80e-01,-5.40e-03,
152,-5.60e-02,6.80e-01,-5.80e-03,
153,-6.80e-02,7.60e-01,-5.40e-03,
154,-6.40e-02,7.60e-01,-6.00e-03,
155,-7.60e-02,7.20e-01,-5.00e-03,
156,-7.20e-02,7.20e-01,-5.00e-03,
157,-8.00e-02,8.00e-01,-5.60e-03,
158,-8.00e-02,8.00e-01,-5.40e-03,
159,-7.60e-02,8.40e-01,-4.80e-03,
160,-7.60e-02,8.00e-01,-5.20e-03,
161,-8.80e-02,8.80e-01,-4.60e-03,
162,-9.20e-02,8.00e-01,-4.60e-03,
163,-8.40e-02,8.80e-01,-5.20e-03,
164,-8.80e-02,8.40e-01,-5.00e-03,
165,-9.60e-02,8.80e-01,-4.20e-03,
166,-8.80e-02,8.40e-01,-4.40e-03,
167,-9.60e-02,9.60e-01,-4.00e-03,
168,-9.60e-02,9.20e-01,-4.20e-03,
169,-8.80e-02,9.60e-01,-3.40e-03,
170,-9.60e-02,9.20e-01,-3.20e-03,
171,-8.80e-02,1.00e+00,-3.80e-03,
172,-9.60e-02,9.20e-01,-3.40e-03,
173,-8.40e-02,1.00e+00,-2.60e-03,
174,-9.20e-02,9.60e-01,-2.80e-03,
175,-8.00e-02,1.00e+00,-2.00e-03,
